Job Title,Job Link
"QA Solution Architect",https://www.dice.com/job-detail/f5fa86a7-0116-41c8-be25-f9f4be23cca5
"UFT QA Automation Testing",https://www.dice.com/job-detail/5fb0a0eb-9416-4d73-bc3b-24f5a42d8a19
"QA Test Lead - Life and Annuity",https://www.dice.com/job-detail/35bd777d-4c9a-4b4f-93cd-adbfcb83bed3
"Quality Assurance Lead",https://www.dice.com/job-detail/a54e1e7c-75a6-4462-afab-1e285a24ef16
"QA Engineer Automated",https://www.dice.com/job-detail/52bfcc69-57c3-47e7-af27-15f0efb09df2
"ETL Tester/Data Quality Engineer",https://www.dice.com/job-detail/ddf0d08b-8bef-4c49-a9c4-c2b2ccd9e1a7
"Network Security Penetration Tester",https://www.dice.com/job-detail/3ecd6388-f2c2-4887-8551-a1acbb31cbc0
"ADA Tester",https://www.dice.com/job-detail/48547e3a-6e41-431a-b36b-c0a21fa86e19
"BA/QA Analyst",https://www.dice.com/job-detail/561f46a6-7ccb-4734-81a1-eb8a7d76bb1f
"Hiring for Quality Control || Tinker Air Force Base, Oklahoma",https://www.dice.com/job-detail/13b41d53-9f72-480a-9a34-e18a35f07279
"Software Test Analyst 5 - Sr. QA Analyst",https://www.dice.com/job-detail/64230e4b-c238-4f4d-9360-bd515c021cd4
"Sr. QA Analyst",https://www.dice.com/job-detail/3719228c-9ffa-49b6-9159-2ba84acbb74e
"Sr. QA Analyst (SAP Finance)",https://www.dice.com/job-detail/30c34a88-115e-4ac9-b3f3-7054e4951be1
"Senior Automation Engineer",https://www.dice.com/job-detail/314bed1f-fd55-4942-9da2-d501211d9d3f
"QA & Testing Advisor - 12+ Months Contract - Morris Plains, NJ (Onsite)",https://www.dice.com/job-detail/2d56c0fa-3779-449f-8103-971050c9a5fb
"UFT QA Automation Testing - (Newark DE/Charlotte, NC/Plano, TX/Addison, TX)",https://www.dice.com/job-detail/426de17b-704d-412c-8e3a-ebe15a172ab9
"Automated SW Tester",https://www.dice.com/job-detail/523d7248-c0c3-4dc1-92a5-f02a2b36c91e
"Fulltime opportunity - ETL &API Automation Tester - Photon - Tampa, FL",https://www.dice.com/job-detail/1a4f6d7f-7221-4496-9955-30a6abb2cfbc
"RightAngle Tester",https://www.dice.com/job-detail/1d8702f9-3138-4af7-a071-5666398f5da3
"Testing Lead - Medicaid/MMIS (Remote)",https://www.dice.com/job-detail/388281c8-b145-4365-b073-a791a6f7da0a
"Test Analyst - Medicaid/MMIS (Remote)",https://www.dice.com/job-detail/3a8cef8f-6995-420a-8b8f-b3ee0bc59f93
"SQA Analyst",https://www.dice.com/job-detail/d48bfa94-ed00-4eec-8dab-acb14acf6d09
"Software Test Analyst with SAP Experience",https://www.dice.com/job-detail/b80a93df-45bd-48d5-95ad-b5a714cb427b
"Senior Java FS Engineer (Fulltime)",https://www.dice.com/job-detail/84afb002-fa9a-4725-a5b6-642067cbfb72
"Test Engineer 1",https://www.dice.com/job-detail/f3cc3a00-4b81-4e9f-8000-a733a2ff7635
"Java Full Stack Developer with Rebate",https://www.dice.com/job-detail/4ffa6352-3792-4342-bd54-4f59fe71cbe8
"SVP, Regulatory Reporting",https://www.dice.com/job-detail/fa62b4be-fb2b-4f0b-85ec-aea7120aa9db
"Senior Actimize Developer",https://www.dice.com/job-detail/27276906-bc91-43ab-af4d-bef3e795fbba
